species,lon,lat
Amazona_brasiliensis,-48.0985,-25.2941
Amazona_brasiliensis,-48.4625,-25.3159
Amazona_brasiliensis,-48.8758,-25.3634
Amazona_brasiliensis,-48.7487,-25.4363
Amazona_brasiliensis,-49.6236,-25.5848
Amazona_brasiliensis,-48.4928,-25.5872
Amazona_brasiliensis,-48.5600,-25.5935
Amazona_brasiliensis,-48.5000,-25.6333
Amazona_brasiliensis,-48.4309,-25.6402
Amazona_brasiliensis,-48.4732,-25.6981
Amazona_brasiliensis,-48.5582,-25.8045
Amazona_brasiliensis,-48.7013,-25.8617
Amazona_brasiliensis,-48.6133,-25.9089
Brotogeris_tirica,-34.8456,-7.8818
Brotogeris_tirica,-34.9203,-8.0343
Brotogeris_tirica,-34.9629,-8.0650
Brotogeris_tirica,-36.3770,-8.1328
Brotogeris_tirica,-36.4197,-8.3420
Brotogeris_tirica,-36.0255,-8.3695
Brotogeris_tirica,-35.0343,-8.5556
Brotogeris_tirica,-35.1245,-8.5750
Brotogeris_tirica,-35.1700,-8.6564
Brotogeris_tirica,-35.1181,-8.6581
Brotogeris_tirica,-35.8741,-8.6678
Brotogeris_tirica,-35.8525,-8.7173
Brotogeris_tirica,-35.1760,-8.7309
Brotogeris_tirica,-35.7983,-8.7317
Brotogeris_tirica,-35.8864,-8.8803
Brotogeris_tirica,-35.8667,-9.0061
Brotogeris_tirica,-36.0879,-9.1699
Brotogeris_tirica,-35.8796,-9.2254
Brotogeris_tirica,-35.8422,-9.2526
Brotogeris_tirica,-35.9222,-9.2581
Brotogeris_tirica,-35.9401,-9.3029
Brotogeris_tirica,-36.5937,-9.3129
Brotogeris_tirica,-35.7167,-9.3667
Brotogeris_tirica,-35.6218,-9.5469
Brotogeris_tirica,-35.8036,-9.6400
Brotogeris_tirica,-39.0205,-9.9441
Brotogeris_tirica,-39.2216,-10.6989
Brotogeris_tirica,-39.1737,-11.5940
Brotogeris_tirica,-41.2147,-11.9340
Brotogeris_tirica,-41.2257,-12.0117
Brotogeris_tirica,-37.6941,-12.1060
Brotogeris_tirica,-40.0700,-12.4200
Brotogeris_tirica,-38.7989,-12.5547
Brotogeris_tirica,-38.5397,-12.5774
Brotogeris_tirica,-38.0135,-12.5794
Brotogeris_tirica,-42.0400,-12.6271
Brotogeris_tirica,-41.4212,-12.7448
Brotogeris_tirica,-38.3560,-12.9195
Brotogeris_tirica,-38.9628,-13.2721
Brotogeris_tirica,-39.0411,-13.2868
Brotogeris_tirica,-39.1581,-13.6208
Brotogeris_tirica,-39.1389,-13.7334
Brotogeris_tirica,-39.1705,-13.8196
Brotogeris_tirica,-39.9055,-13.8585
Brotogeris_tirica,-39.6010,-13.8647
Brotogeris_tirica,-40.1049,-13.8661
Brotogeris_tirica,-39.1592,-13.8781
Brotogeris_tirica,-39.7142,-13.8854
Brotogeris_tirica,-39.9561,-13.8969
Brotogeris_tirica,-39.1801,-13.9261
Brotogeris_tirica,-39.4099,-14.0398
Brotogeris_tirica,-39.6613,-14.0543
Brotogeris_tirica,-39.6939,-14.1027
Brotogeris_tirica,-39.0168,-14.1037
Brotogeris_tirica,-39.7416,-14.1285
Brotogeris_tirica,-39.2943,-14.1330
Brotogeris_tirica,-39.0124,-14.1606
Brotogeris_tirica,-39.8148,-14.1696
Brotogeris_tirica,-39.3183,-14.1816
Brotogeris_tirica,-39.6479,-14.1936
Brotogeris_tirica,-39.1153,-14.2006
Brotogeris_tirica,-39.0450,-14.2065
Brotogeris_tirica,-39.1742,-14.2532
Brotogeris_tirica,-39.0694,-14.2686
Brotogeris_tirica,-38.9946,-14.2795
Brotogeris_tirica,-39.0966,-14.3352
Brotogeris_tirica,-39.9106,-14.3421
Brotogeris_tirica,-39.0322,-14.3427
Brotogeris_tirica,-39.1620,-14.3500
Brotogeris_tirica,-40.2254,-14.3689
Brotogeris_tirica,-39.0277,-14.3876
Brotogeris_tirica,-40.1345,-14.4132
Brotogeris_tirica,-39.0541,-14.4265
Brotogeris_tirica,-40.0796,-14.4368
Brotogeris_tirica,-39.1358,-14.4922
Brotogeris_tirica,-39.1429,-14.5425
Brotogeris_tirica,-39.1472,-14.6173
Brotogeris_tirica,-39.3775,-14.6805
Brotogeris_tirica,-39.2575,-14.6861
Brotogeris_tirica,-39.0797,-14.6864
Brotogeris_tirica,-39.2307,-14.7554
Brotogeris_tirica,-39.0674,-14.7889
Brotogeris_tirica,-39.2800,-14.7900
Brotogeris_tirica,-39.1738,-14.7971
Brotogeris_tirica,-39.3738,-14.8078
Brotogeris_tirica,-39.6499,-14.8787
Brotogeris_tirica,-39.0910,-14.9740
Brotogeris_tirica,-43.2422,-15.0297
Brotogeris_tirica,-39.3152,-15.1327
Brotogeris_tirica,-39.1713,-15.1433
Brotogeris_tirica,-39.0598,-15.1633
Brotogeris_tirica,-39.5336,-15.1701
Brotogeris_tirica,-39.3300,-15.1800
Brotogeris_tirica,-39.4084,-15.2029
Brotogeris_tirica,-39.1672,-15.2047
Brotogeris_tirica,-39.1024,-15.2107
Brotogeris_tirica,-39.4477,-15.2363
Brotogeris_tirica,-39.0068,-15.2697
Brotogeris_tirica,-39.0610,-15.2907
Brotogeris_tirica,-39.5011,-15.3325
Brotogeris_tirica,-39.2022,-15.3583
Brotogeris_tirica,-39.5644,-15.3920
Brotogeris_tirica,-39.1328,-15.3973
Brotogeris_tirica,-39.5285,-15.4215
Brotogeris_tirica,-40.5220,-15.7881
Brotogeris_tirica,-39.0533,-15.8238
Brotogeris_tirica,-39.3211,-15.9584
Brotogeris_tirica,-39.0169,-15.9690
Brotogeris_tirica,-39.0179,-16.0708
Brotogeris_tirica,-39.2104,-16.0940
Brotogeris_tirica,-39.3209,-16.1716
Brotogeris_tirica,-41.3416,-16.2463
Brotogeris_tirica,-39.0242,-16.2779
Brotogeris_tirica,-39.1349,-16.3033
Brotogeris_tirica,-39.0877,-16.3048
Brotogeris_tirica,-40.0103,-16.3085
Brotogeris_tirica,-39.9673,-16.3514
Brotogeris_tirica,-39.0766,-16.3742
Brotogeris_tirica,-39.1733,-16.3873
Brotogeris_tirica,-39.1620,-16.4310
Brotogeris_tirica,-39.3222,-16.4328
Brotogeris_tirica,-40.0653,-16.4347
Brotogeris_tirica,-39.0645,-16.4361
Brotogeris_tirica,-39.2508,-16.4363
Brotogeris_tirica,-39.3410,-16.4838
Brotogeris_tirica,-39.0772,-16.4861
Brotogeris_tirica,-39.1972,-16.4952
Brotogeris_tirica,-39.2636,-16.4980
Brotogeris_tirica,-39.1259,-16.5441
Brotogeris_tirica,-39.0909,-16.5870
Brotogeris_tirica,-39.0942,-16.6327
Brotogeris_tirica,-43.7445,-16.6596
Brotogeris_tirica,-39.1243,-16.7269
Brotogeris_tirica,-42.9990,-16.7897
Brotogeris_tirica,-39.4013,-16.8883
Brotogeris_tirica,-39.3147,-17.1353
Brotogeris_tirica,-44.9419,-17.3450
Brotogeris_tirica,-39.8619,-18.4000
Brotogeris_tirica,-48.1641,-18.4240
Brotogeris_tirica,-39.7322,-18.5933
Brotogeris_tirica,-48.2258,-18.7138
Brotogeris_tirica,-39.8600,-18.7200
Brotogeris_tirica,-46.8899,-18.8446
Brotogeris_tirica,-39.8982,-18.8621
