species,lon,lat
Akodon_montensis,-47.0877,-23.715
Akodon_montensis,-46.9454,-23.7149
Akodon_montensis,-47.0925,-23.7149
Akodon_montensis,-47.1009,-23.7102
Akodon_montensis,-47.0721,-23.7083
Akodon_montensis,-47.081,-23.7017
Akodon_montensis,-49.6109,-23.7001
Akodon_montensis,-46.9568,-23.6958
Akodon_montensis,-47.0672,-23.6939
Akodon_montensis,-47.076,-23.6928
Akodon_montensis,-47.0924,-23.6898
Akodon_montensis,-47.0367,-23.6806
Akodon_montensis,-46.9589,-23.6755
Akodon_montensis,-46.9203,-23.6517
Akodon_montensis,-46.4711,-23.6461
Akodon_montensis,-46.8833,-23.6333
Akodon_montensis,-47.6281,-23.4353
Akodon_montensis,-47.6281,-23.4353
Akodon_montensis,-46.3633,-23.3731
Akodon_montensis,-46.3536,-23.3672
Akodon_montensis,-45.125,-23.3583
Akodon_montensis,-45.3836,-23.2711
Akodon_montensis,-46.0003,-23.2494
Akodon_montensis,-46.9008,-23.2344
Akodon_montensis,-46.9244,-23.2319
Akodon_montensis,-45.2914,-23.1722
Akodon_montensis,-47.06,-22.9
Akodon_montensis,-46.9075,-22.7392
Akodon_montensis,-44.8492,-22.5494
Akodon_montensis,-44.8553,-22.5447
Akodon_montensis,-47.8975,-22.3876
Akodon_montensis,-47.8773,-22.3635
Akodon_montensis,-47.8706,-22.356
Akodon_montensis,-47.7978,-22.2744
Akodon_montensis,-47.7635,-22.264
Akodon_montensis,-47.8381,-20.5153
Akodon_montensis,-47.8625,-20.5078
Amazona_brasiliensis,-48.5031,-25.5474
Amazona_brasiliensis,-48.4928,-25.5872
Amazona_brasiliensis,-48.3289,-25.3067
Amazona_brasiliensis,-46.9,-24.2333
Amazona_brasiliensis,-47.92,-25.01
Amazona_brasiliensis,-47.8833,-25.05
Brotogeris_tirica,-45.19,-11.05
Brotogeris_tirica,-39.28,-14.79
Brotogeris_tirica,-44.94,-17.35
Brotogeris_tirica,-39.73,-18.59
Brotogeris_tirica,-39.86,-18.72
Brotogeris_tirica,-40.07,-19.39
Brotogeris_tirica,-40.63,-19.54
Brotogeris_tirica,-45.59,-22.73
Brotogeris_tirica,-43.75,-22.88
Brotogeris_tirica,-44.88,-23.33
Brotogeris_tirica,-46.79,-23.41
Brotogeris_tirica,-46.61,-23.47
Brotogeris_tirica,-46.73,-23.49
Brotogeris_tirica,-46.74,-23.5
Brotogeris_tirica,-46.75,-23.51
Brotogeris_tirica,-46.6,-23.51
Brotogeris_tirica,-46.43,-23.51
Brotogeris_tirica,-46.63,-23.53
Brotogeris_tirica,-46.57,-23.53
Brotogeris_tirica,-46.63,-23.54
Brotogeris_tirica,-46.72,-23.55
Brotogeris_tirica,-46.66,-23.55
Brotogeris_tirica,-46.63,-23.57
Brotogeris_tirica,-46.73,-23.58
Brotogeris_tirica,-46.76,-23.59
Brotogeris_tirica,-46.66,-23.59
Brotogeris_tirica,-46.75,-23.61
Brotogeris_tirica,-46.75,-23.62
Brotogeris_tirica,-46.64,-23.63
Brotogeris_tirica,-46.72,-23.63
Brotogeris_tirica,-46.71,-23.64
Brotogeris_tirica,-46.62,-23.65
Brotogeris_tirica,-46.77,-23.66
Brotogeris_tirica,-46.66,-23.66
Brotogeris_tirica,-46.53,-23.66
Brotogeris_tirica,-46.73,-23.68
Brotogeris_tirica,-45.41,-23.76
Brotogeris_tirica,-45.33,-23.83
Brotogeris_tirica,-46.71,-23.87
Brotogeris_tirica,-46.69,-23.87
Brotogeris_tirica,-46.68,-23.94
Brotogeris_tirica,-47.24,-23.96
Brotogeris_tirica,-47.92,-24.38
Brotogeris_tirica,-50.18,-29.58
Brotogeris_tirica,-39.2803,-14.7856
Brotogeris_tirica,-45.1931,-11.0483
Brotogeris_tirica,-40.6306,-19.5394
Brotogeris_tirica,-40.0722,-19.3911
Brotogeris_tirica,-39.8589,-18.7161
Brotogeris_tirica,-39.7322,-18.5933
Brotogeris_tirica,-44.9419,-17.345
Brotogeris_tirica,-43.75,-22.8833
Brotogeris_tirica,-50.1833,-29.5833
Brotogeris_tirica,-47.92,-24.38
Brotogeris_tirica,-47.92,-24.38
Brotogeris_tirica,-47.2428,-23.9574
Brotogeris_tirica,-46.6789,-23.9364
Brotogeris_tirica,-46.7133,-23.8682
Brotogeris_tirica,-46.6923,-23.8675
Brotogeris_tirica,-45.3333,-23.8333
Brotogeris_tirica,-45.41,-23.76
Brotogeris_tirica,-46.7324,-23.6751
Brotogeris_tirica,-46.7738,-23.6625
Brotogeris_tirica,-46.6599,-23.6624
Brotogeris_tirica,-46.53,-23.66
Brotogeris_tirica,-46.6167,-23.65
Brotogeris_tirica,-46.7076,-23.64
Brotogeris_tirica,-46.6401,-23.6332
Brotogeris_tirica,-46.7211,-23.632
Brotogeris_tirica,-46.7519,-23.6152
Brotogeris_tirica,-46.7473,-23.6121
Brotogeris_tirica,-46.7568,-23.5896
Brotogeris_tirica,-46.6589,-23.587
Brotogeris_tirica,-46.7307,-23.5846
Brotogeris_tirica,-46.6287,-23.5743
Brotogeris_tirica,-46.7167,-23.55
Brotogeris_tirica,-46.6584,-23.5451
Brotogeris_tirica,-46.63,-23.54
Brotogeris_tirica,-46.6348,-23.5328
